N_inventaire,Rue,N_rue,Nom_site,Arrondissement,Ville,Latitude_x,Longitude_y,Support,Couleur,Taille,Date_prise_vue,Photographe,Date_construction,Architecte,Classement_MH,Généralité_architecture,Mot_cle1,Mot_cle2,Mot_cle3,Mot_cle4,Mot_cle5,Mot_cle6,Cote_base,Cote_classement,Date_inventaire
1,BOURDONNAIS RUE DES,33-33bis,IMMEUBLE,1,PARIS,48.860139,2.345084,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",1858,,NON,PRIVÉE,IMMEUBLE,FAÇADE,EXTÉRIEUR_SUR_RUE,,,,2000-01000-0000021,B401,21/09/2019
2,BOURDONNAIS IMPASSE DES,,IMPASSE,1,PARIS,48.860492,2.345229,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",,,NON,PRIVÉE,HÔTEL,EXTÉRIEUR_SUR_RUE,,,,,2000-01000-0000022,B401,21/09/2019
3,BOURDONNAIS RUE DES,34,HÔTEL_DE_VILLEROY,1,PARIS,48.860213,2.345386,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",1640,,OUI,HÔTEL_PARTICULIER,HÔTEL,COUR,EXTÉRIEUR,BALCON,FERRONNERIE,,2000-01000-0000017,B401,21/09/2019
4,BOURDONNAIS RUE DES,34,HÔTEL_DE_VILLEROY,1,PARIS,48.860213,2.345386,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",1640,,OUI,HÔTEL_PARTICULIER,HÔTEL,COUR,EXTÉRIEUR,PORTE,BALCON,FERRONNERIE,2000-01000-0000023,B401,21/09/2019
5,BOURDONNAIS RUE DES,34,HÔTEL_DE_VILLEROY,1,PARIS,48.860213,2.345386,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",1640,,OUI,HÔTEL_PARTICULIER,HÔTEL,FAÇADE,EXTÉRIEUR_SUR_RUE,PORTE,,,2000-01000-0000027,B401,21/09/2019
6,BOURDONNAIS RUE DES,31,HÔTEL_DES_CARNAULX,1,PARIS,48.86011,2.34508,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",1840,,NON,HÔTEL_PARTICULIER,HÔTEL,FAÇADE,EXTÉRIEUR_SUR_RUE,,,,2000-01000-0000020,B401,21/09/2019
7,BOURDONNAIS RUE DES,34,HÔTEL_DE_VILLEROY,1,PARIS,48.860213,2.345386,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",1640,,OUI,HÔTEL_PARTICULIER,HÔTEL,COUR,EXTÉRIEUR,FENÊTRE,,,2000-01000-0000029,B401,21/09/2019
8,BOURDONNAIS RUE DES,34,HÔTEL_DE_VILLEROY,1,PARIS,48.860213,2.345386,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",1640,,OUI,HÔTEL_PARTICULIER,PASSAGE,EXTÉRIEUR,,,,,2000-01000-0000019,B401,21/09/2019
9,BOURDONNAIS RUE DES,39,IMMEUBLE,1,PARIS,48.86051,2.3454,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",1640,,NON,PRIVÉE,IMMEUBLE,FAÇADE,CHIEN_ASSIS,,,,2000-01000-0000018,B401,21/09/2019
10,BOURDONNAIS RUE DES,31,HÔTEL_DES_CARNAULX,1,PARIS,48.86011,2.34508,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",1841,,NON,HÔTEL_PARTICULIER,HÔTEL,FAÇADE,EXTÉRIEUR_SUR_RUE,BALCON,FERRONNERIE,,2000-01000-0000026,B401,21/09/2019
11,BOURDONNAIS RUE DES,34,HÔTEL_DE_VILLEROY,1,PARIS,48.860213,2.345386,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",1640,,OUI,HÔTEL_PARTICULIER,HÔTEL,COUR,EXTÉRIEUR,PORTE,,,2000-01000-0000025,B401,21/09/2019
12,BOURDONNAIS RUE DES,,RUE,1,PARIS,48.85981,2.34498,TIRAGE PAPIER,COULEUR,10x15 cm,2000/03,"BOUTET, MARGUERITE",,,NON,VOIRIES_ESPACES_LIBRES,VUE_ENSEMBLE,EXTÉRIEUR,,,,,2000-01000-0000024,B401,21/09/2019
13,"BERTIN POIRÉE, RUE",8-10,IMMEUBLE,1,PARIS,48.85848,2.34476,TIRAGE PAPIER,COULEUR,10x15 cm,2000,Cl,,,INCONNU,PRIVÉE,FAÇADE,EXTÉRIEUR_SUR_RUE,AVANT_RESTAURATION,,,,,B401,21/09/2019
14,"MONTPENSIER, RUE DE",11,IMMEUBLE,1,PARIS,48.86446,2.33652,TIRAGE PAPIER,COULEUR,10x15 cm,1999/10/29,"LEFEVRE, PHILIPPE",,,INCONNU,PRIVÉE,FAÇADE,BALCON,FERRONNERIE,EXTÉRIEUR_SUR_RUE,FENÊTRE,,,B401,21/09/2019
15,"SAINT-HONORÉ, RUE",183,IMMEUBLE,1,PARIS,48.86216,2.33902,TIRAGE PAPIER,COULEUR,15x10 cm,1994/07/10,"GENEST, MICHEL",,,NON,PRIVÉE,FAÇADE,EXTÉRIEUR_SUR_RUE,PORTAIL,,,,,B401,21/09/2019
16,"SAINT-HONORÉ, RUE",37-39,IMMEUBLE,1,PARIS,48.86074,2.34558,TIRAGE PAPIER,COULEUR,15x10 cm,XXè,INCONNU,,,INCONNU,PRIVÉE,EXTÉRIEUR_SUR_RUE,FAÇADE,RESTAURANT,FENÊTRE,,,,B401,21/09/2019
18,"RIVOLI, RUE DE",,LE_LOUVRE -- TUILERIES,1,PARIS,48.86034,2.33569,TIRAGE PAPIER,N&B,18x24 cm,,,,,OUI,PRIVÉE,VUE_ENSEMBLE,EXTÉRIEUR,SEINE,,,,2008-01000-0003321,B401,21/09/2019
19,"SAINT-HONORÉ, RUE",182,MINISTÈRE_DE_LA_CULTURE,1,PARIS,48.86239,2.3389,TIRAGE PAPIER,N&B,10x15 cm,XXè,"BURET, COLETTE",,,NON,PUBLIQUE,FAÇADE,EXTÉRIEUR_SUR_RUE,ART,IMMEUBLE,,,2003-01000-0000004,B401,21/09/2019
